Date,Coffesales
Jan-75,11.1179
Feb-75,9.8413
Mar-75,11.5732
Apr-75,13.0097
May-75,13.4182
Jun-75,14.4418
Jul-75,14.7534
Aug-75,13.8816
Sep-75,12.5123
Oct-75,11.8983
Nov-75,10.6088
Dec-75,11.5874
Jan-76,10.8633
Feb-76,11
Mar-76,10.9934
Apr-76,12.914
May-76,13.5853
Jun-76,14.1553
Jul-76,15.0056
Aug-76,14.859
Sep-76,13.4387
Oct-76,12.2184
Nov-76,10.5208
Dec-76,10.8335
Jan-77,10.0067
Feb-77,10.4321
Mar-77,14.5477
Apr-77,14.2748
May-77,14.9986
Jun-77,15.71
Jul-77,14.798
Aug-77,14.6431
Sep-77,12.8878
Oct-77,11.6235
Nov-77,11.4853
Dec-77,11.5065
Jan-78,10.6897
Feb-78,11.0093
Mar-78,14.7983
Apr-78,13.5984
May-78,14.9606
Jun-78,15.8187
Jul-78,15.2871
Aug-78,16.2773
Sep-78,13.937
Oct-78,13.327
Nov-78,12.0353
Dec-78,11.567
Jan-79,12.3244
Feb-79,12.0133
Mar-79,15.0094
Apr-79,14.9562
May-79,15.9268
Jun-79,15.5702
Jul-79,15.1282
Aug-79,15.5625
Sep-79,13.7112
Oct-79,13.6425
Nov-79,12.5158
Dec-79,11.7629
Jan-80,12.5357
Feb-80,12.6446
Mar-80,14.0848
Apr-80,14.3271
May-80,16.1862
Jun-80,16.6604
Jul-80,17.081
Aug-80,16.2811
Sep-80,14.5118
Oct-80,14.1594
Nov-80,12.512
Dec-80,12.383
Jan-81,12.0798
Feb-81,12.4126
Mar-81,15.0092
Apr-81,15.4733
May-81,16.9966
Jun-81,17.2933
Jul-81,17.3701
Aug-81,16.2422
Sep-81,14.6808
Oct-81,13.8444
Nov-81,12.3871
Dec-81,12.9072
Jan-82,11.9036
Feb-82,12.9126
Mar-82,15.6815
Apr-82,15.8119
May-82,16.5611
Jun-82,17.2255
Jul-82,16.1033
Aug-82,16.259
Sep-82,14.8834
Oct-82,13.8291
Nov-82,13.1376
Dec-82,12.2662
Jan-83,12.5696
Feb-83,12.6644
Mar-83,15.0723
Apr-83,15.5742
May-83,16.8397
Jun-83,17.0121
Jul-83,16.8476
Aug-83,17.3471
Sep-83,14.8442
Oct-83,13.8536
Nov-83,12.7904
Dec-83,11.9797
Jan-84,12.4214
Feb-84,12.5443
Mar-84,15.3242
Apr-84,15.0629
May-84,16.8656
Jun-84,17.23
Jul-84,17.3288
Aug-84,16.9654
Sep-84,13.6582
Oct-84,14.2932
Nov-84,12.4037
Dec-84,11.3818
Jan-85,13.5114
Feb-85,12.7501
Mar-85,14.4642
Apr-85,15.8558
May-85,17.6043
Jun-85,16.1731
Jul-85,16.6319
Aug-85,16.0352
Sep-85,13.5914
Oct-85,14.0102
Nov-85,12.3939
Dec-85,12.1101
Jan-86,13.9861
Feb-86,13.012
Mar-86,14.6625
Apr-86,16.0165
May-86,17.1046
Jun-86,16.5952
Jul-86,17.0626
Aug-86,16.3092
Sep-86,14.0156
Oct-86,14.6417
Nov-86,12.4761
Dec-86,12.8391
Jan-87,13.6094
Feb-87,13.7362
Mar-87,15.3119
Apr-87,15.9071
May-87,16.135
Jun-87,16.6147
Jul-87,17.0362
Aug-87,15.8162
Sep-87,14.3066
Oct-87,14.4671
Nov-87,12.5856
Dec-87,12.3225
Jan-88,13.8006
Feb-88,13.9416
Mar-88,15.2575
Apr-88,15.2452
May-88,16.4849
Jun-88,17.0435
Jul-88,16.4097
Aug-88,16.2246
Sep-88,14.4386
Oct-88,13.9469
Nov-88,13.2062
Dec-88,12.2347
Jan-89,14.0913
Feb-89,13.195
Mar-89,15.4059
Apr-89,14.8754
May-89,16.7768
Jun-89,16.9378
Jul-89,16.2259
Aug-89,17.4078
Sep-89,14.7684
Oct-89,14.3167
Nov-89,13.4048
Dec-89,12.0999
Jan-90,14.26
Feb-90,13.38
Mar-90,15.89
Apr-90,15.23
May-90,16.91
Jun-90,16.8854
Jul-90,17
Aug-90,17.4
Sep-90,14.75
Oct-90,15.77
Nov-90,14.54
Dec-90,13.22
